//ItemIndex,PosX,PosY,Rotation
471, 217,215,1 // GUERRA DE CIDADES
471, 217,221,1 // GUERRA DE CIDADES
471, 217,227,1 // GUERRA DE CIDADES
471, 217,151,1 // GUERRA DE CIDADES
471, 217,157,1 // GUERRA DE CIDADES
471, 217,163,1 // GUERRA DE CIDADES
471, 161,215,1 // GUERRA DE CIDADES
471, 161,221,1 // GUERRA DE CIDADES
471, 161,227,1 // GUERRA DE CIDADES
471, 161,151,1 // GUERRA DE CIDADES
471, 161,157,1 // GUERRA DE CIDADES
471, 161,163,1 // GUERRA DE CIDADES
472,2603,1717,1 // COLISEU
472,2603,1733,1 // COLISEU
471,2624,1739,1 // COLISEU dentro
471,2624,1731,1 // COLISEU dentro
471,2624,1725,1 // COLISEU dentro
471,2624,1719,1 // COLISEU dentro
471,2624,1711,1 // COLISEU dentro
1733,786,3676,0 // RUNA CARTA
1733,786,3677,0 // RUNA CARTA
1733,787,3676,0 // RUNA CARTA
1733,787,3677,0 // RUNA CARTA
1734,844,3676,0 // RUNA CARTA SALA 2
1734,844,3677,0 // RUNA CARTA SALA 2
1734,845,3676,0 // RUNA CARTA SALA 2
1734,845,3677,0 // RUNA CARTA SALA 2
1735,844,3620,0 // RUNA CARTA SALA 3
1735,844,3621,0 // RUNA CARTA SALA 3
1735,845,3620,0 // RUNA CARTA SALA 3
1735,845,3621,0 // RUNA CARTA SALA 3
1736,786,3634,0 // RUNA CARTA SALA BOSS
1736,786,3635,0 // RUNA CARTA SALA BOSS
1736,787,3634,0 // RUNA CARTA SALA BOSS
1736,787,3635,0 // RUNA CARTA SALA BOSS
471,1341,1515,1 // PORTAO BIG CUBO
471,1341,1509,1 // PORTAO BIG CUBO
471,1341,1503,1 // PORTAO BIG CUBO
471,1341,1495,1 // PORTAO BIG CUBO
471,1341,1489,1 // PORTAO BIG CUBO
471,1341,1483,1 // PORTAO BIG CUBO
773,1129,1707,1 // Portao Quest Castelo Noatun fundos (#32)
773,1116,1707,1 // Portao Quest Castelo Noatun fundos (dentro)
773,1094,1690,1 // Portao Quest Castelo Noatun Antes do Altar
800,1075,1711,1 // Primeiro portao de noatum
457,64,64,1 // ARMIA PORTAO SUL SEM USAR46
458,2075,2015,2 // Portao 1 Quest level 1
459,2143,1985,2 // Portao 2 Quest level 1
461,2081,1961,2 // Portao 3 Quest level 1
464,2504,2145,1 // Portao Quest Castelo Orc 2
468,2528,2134,2 // Portao Quest Castelo Orc 3
462,2487,2129,1 // Portao Quest Castelo Orc 1
463,2518,2106,2 // Portao Quest Castelo Orc 3
757,2240,1270,0 // Portao Quest Castelo Imp Entrada
758,2248,1246,2 // Portao Quest Castelo Imp sala 1
759,2262,1224,1 // Portao Quest Castelo Imp sala 2
760,2279,1209,2 // Portao Quest Castelo Imp sala 3
761,2265,1174,1 // Portao Quest Castelo Imp sala 4
758,2230,1246,2 // Portao Quest Castelo Imp sala 1
759,2216,1224,1 // Portao Quest Castelo Imp sala 2
760,2199,1209,2 // Portao Quest Castelo Imp sala 3
761,2213,1174,1 // Portao Quest Castelo Imp sala 4
746,1129,1717,1 // Canhao
746,1129,1713,1 // Canhao
746,1129,1702,1 // Canhao
746,1129,1698,1 // Canhao
3145,2130,2114,1 //Torre Triunfo Armia
3145,2492,1717,1 //Torre Triunfo Arzan
3145,2452,1998,2 //Torre Triunfo Erion
3145,3659,3110,1 //Torre Triunfo Gelo
3145,944,1763,1 //Torre Triunfo Noatum
4101,2386,3867,3  // PORTAO EM KEFRA PROX.HALL
4101,2351,3867,1 // PORTAO EM KEFRA PROX.HALL
4102,4056,3999,1 //CASSINO
4103,4061,3999,1 //CASSINO
4143,2123,2143,1 // Porta PvP Armia
